model-1608851053,1608851605.153,0.66,0.2352,0.63,0.22
model-1608851053,1608851605.859,0.64,0.2091,0.62,0.2197
model-1608851053,1608851606.526,0.59,0.2259,0.64,0.2202
model-1608851053,1608851607.282,0.61,0.2209,0.63,0.2202
model-1608851053,1608851607.944,0.61,0.2308,0.62,0.22
model-1608851053,1608851608.62,0.6,0.2353,0.64,0.2213
model-1608851053,1608851609.237,0.66,0.2116,0.66,0.224
model-1608851053,1608851609.868,0.62,0.2376,0.63,0.2337
model-1608851053,1608851610.486,0.61,0.2277,0.6,0.2389
model-1608851053,1608851611.144,0.65,0.2255,0.62,0.2337
model-1608851053,1608851611.82,0.7,0.2005,0.61,0.241
model-1608851053,1608851612.455,0.57,0.2566,0.6,0.242
model-1608851053,1608851613.083,0.64,0.2297,0.62,0.238
model-1608851053,1608851613.731,0.65,0.215,0.61,0.2357
model-1608851053,1608851614.362,0.57,0.2379,0.57,0.2361
model-1608851053,1608851614.983,0.65,0.2361,0.61,0.2282
model-1608851053,1608851615.604,0.74,0.2126,0.63,0.2225
model-1608851053,1608851616.244,0.64,0.2154,0.63,0.2206
model-1608851053,1608851616.904,0.63,0.2264,0.66,0.2191
model-1608851053,1608851617.636,0.71,0.191,0.66,0.2183
model-1608851053,1608851618.303,0.56,0.2419,0.66,0.2171
model-1608851053,1608851621.971,0.55,0.2367,0.66,0.2162
model-1608851053,1608851624.924,0.59,0.2313,0.69,0.2169
model-1608851053,1608851626.624,0.76,0.1861,0.68,0.2176
model-1608851053,1608851628.194,0.59,0.228,0.62,0.2244
model-1608851053,1608851629.883,0.54,0.2531,0.57,0.2427
model-1608851053,1608851630.87,0.61,0.2266,0.58,0.2394
model-1608851053,1608851631.651,0.65,0.219,0.63,0.2391
model-1608851053,1608851633.482,0.62,0.2262,0.61,0.239
model-1608851053,1608851634.989,0.65,0.23,0.62,0.2406
model-1608851053,1608851636.152,0.67,0.2146,0.56,0.2409
model-1608851053,1608851637.005,0.61,0.2311,0.54,0.2406
model-1608851053,1608851637.985,0.56,0.2479,0.58,0.237
model-1608851053,1608851639.042,0.71,0.2075,0.64,0.2329
model-1608851053,1608851640.272,0.57,0.2354,0.64,0.2271
model-1608851053,1608851641.074,0.64,0.2313,0.65,0.2219
model-1608851053,1608851642.092,0.68,0.2144,0.66,0.2193
model-1608851053,1608851642.971,0.6,0.229,0.66,0.2169
model-1608851053,1608851644.124,0.67,0.2118,0.67,0.2157
model-1608851053,1608851644.984,0.6,0.2479,0.67,0.2144
model-1608851053,1608851645.911,0.56,0.2534,0.66,0.2138
model-1608851053,1608851646.777,0.65,0.2289,0.66,0.2169
model-1608851053,1608851647.702,0.7,0.2139,0.65,0.2176
model-1608851053,1608851648.388,0.67,0.2161,0.66,0.2144
model-1608851053,1608851649.189,0.6,0.2222,0.66,0.2203
model-1608851053,1608851649.989,0.67,0.2094,0.57,0.2438
model-1608851053,1608851650.684,0.54,0.2407,0.64,0.2223
